"name","lat","lon","sector"
"Northwest Nazarene University",43.563181,-116.564792,"Private"
"Brigham Young UniversityIdaho",43.815384,-111.784728,"Private"
"Adler University",41.88232,-87.628651,"Private"
"American Academy of Art",41.877824,-87.624396,"Private"
"American Islamic College",41.95494,-87.646781,"Private"
"School of the Art Institute of Chicago",41.879646,-87.621411,"Private"
"Augustana College",41.500326,-90.552402,"Private"
"Aurora University",41.754465,-88.349469,"Private"
"Bethany Theological Seminary",39.8265,-84.9099,"Private"
"Blackburn College",39.288298,-89.872248,"Private"
"Blessing Rieman College of Nursing",39.935896,-91.398548,"Private"
"Bradley University",40.697605,-89.61462,"Private"
"Catholic Theological Union at Chicago",41.798059,-87.585772,"Private"
"Midwestern UniversityDowners Grove",41.828376,-88.000989,"Private"
"The Chicago School of Professional Psychology at Chicago",41.887903,-87.633933,"Private"
"Chicago State University",41.718813,-87.610344,"Public"
"Chicago Theological Seminary",41.786056,-87.591249,"Private"
"University of Chicago",41.78917,-87.601196,"Private"
"Columbia CollegeChicago",41.873589,-87.624554,"Private"
"Concordia UniversityChicago",41.898574,-87.810009,"Private"
"DePaul University",41.923332,-87.654116,"Private"
"EastWest University",41.871309,-87.624793,"Private"
"Eastern Illinois University",39.483017,-88.175505,"Public"
"Elmhurst College",41.899215,-87.946096,"Private"
"Eureka College",40.713042,-89.268952,"Private"
"GarrettEvangelical Theological Seminary",42.053318,-87.676721,"Private"
"Governors State University",41.448603,-87.717012,"Public"
"Greenville College",38.894751,-89.409178,"Private"
"Hebrew Theological College",42.011055,-87.761119,"Private"
"Rosalind Franklin University of Medicine and Science",42.300069,-87.859632,"Private"
"University of Illinois at Chicago",41.872651,-87.651145,"Public"
"Benedictine University",41.776395,-88.095948,"Private"
"Illinois College of Optometry",41.835447,-87.623016,"Private"
"University of Illinois at UrbanaChampaign",40.108864,-88.230309,"Public"
"Illinois Wesleyan University",40.491522,-88.990622,"Private"
"Illinois College",39.730827,-90.246256,"Private"
"Illinois Institute of Technology",41.833801,-87.628346,"Private"
"Illinois State University",40.509724,-88.99234,"Public"
"Institute for Clinical Social Work",41.87631,-87.627181,"Private"
"The John Marshall Law School",41.877966,-87.628567,"Private"
"Judson University",42.05896,-88.289708,"Private"
"Knox College",40.941829,-90.370316,"Private"
"Lake Forest College",42.250456,-87.830777,"Private"
"Lake Forest Graduate School of Management",42.243432,-87.893204,"Private"
"Lakeview College of Nursing",40.137179,-87.644452,"Private"
"Lewis University",41.605432,-88.079032,"Private"
"Lincoln Christian University",40.148897,-89.34582,"Private"
"Lincoln College",40.157141,-89.360552,"Private"
